5;0;fffffff4;569;ffffffea;ffffffd9;fffffff5;0000019c;0000004b;fffffb8c
9;fffffffe;ffffffee;562;ffffffe8;ffffffe0;fffffff3;0000019c;0000004b;fffffb8c
13;ffffffee;fffffff0;572;ffffffe7;ffffffdf;fffffff1;0000019c;0000004b;fffffb8c
18;ffffffee;ffffffe8;583;ffffffe9;ffffffdd;fffffff1;0000019c;45;fffffb88
22;fffffffb;ffffffef;0000056f;ffffffee;ffffffdb;fffffff7;0000019c;45;fffffb88
27;1;ffffffef;569;ffffffed;ffffffdc;fffffff4;0000019c;45;fffffb88
31;fffffffa;ffffffef;566;ffffffec;ffffffdb;fffffff0;000001a2;0000004d;fffffb92
36;fffffff7;ffffffeb;0000056f;ffffffed;ffffffd8;fffffff2;000001a2;0000004d;fffffb92
40;fffffffe;ffffffec;577;ffffffec;ffffffda;fffffff4;000001a2;0000004d;fffffba3
45;fffffffd;ffffffec;571;ffffffe7;ffffffd9;fffffff1;0000017d;41;fffffba3
49;ffffff00;fffffff2;565;ffffffed;ffffffda;fffffff3;0000017d;41;fffffba3
53;fffffff6;ffffffea;0000056c;ffffffea;ffffffd7;fffffff4;195;41;fffffba0
58;ffffffeb;ffffffe6;575;ffffffe9;ffffffd7;fffffff5;195;41;fffffba0
62;fffffff9;ffffffe9;0000056a;ffffffea;ffffffdb;fffffff5;195;41;fffffba0
64;fffffff3;ffffffee;576;ffffffe9;ffffffda;fffffff4;195;41;fffffba0
67;fffffffa;ffffffec;561;ffffffe7;ffffffd9;fffffff4;000001a4;0000003b;fffffb9f
70;fffffffc;fffffff1;567;ffffffe5;ffffffdb;fffffff6;000001a4;0000003b;fffffb9f
73;2;fffffff3;560;ffffffe7;ffffffdd;fffffff5;000001a4;0000003b;fffffb9f
75;fffffffb;fffffff0;0000056d;ffffffed;ffffffd6;fffffff6;000001a4;0000003b;fffffb9f
78;fffffff8;ffffffef;0000056c;ffffffea;ffffffd6;fffffff5;000001a2;45;fffffb7e
80;fffffffa;ffffffe6;576;ffffffe9;ffffffd8;fffffff6;000001a2;45;fffffb7e
83;fffffff4;ffffffeb;0000057d;ffffffe9;ffffffda;fffffff5;000001a2;45;fffffb7e
86;fffffff4;ffffffef;576;ffffffe5;ffffffdb;fffffff4;000001a2;45;fffffb7e
88;fffffffa;ffffffe7;579;ffffffe8;ffffffd8;fffffff7;000001a2;45;fffffb7e
91;fffffff7;fffffff3;565;ffffffe8;ffffffd6;fffffff7;000001a4;39;fffffb89
94;fffffffc;fffffff1;562;ffffffea;ffffffd6;fffffff6;000001a4;39;fffffb89
96;fffffffc;ffffffee;0000056a;ffffffe7;ffffffd5;fffffff7;000001a4;39;fffffb89
